gestational_age_weeks,gestational_age_days,centile_3rd,centile_5th,centile_10th,centile_50th,centile_90th,centile_95th,centile_97th,dataset
24,0,19.41,19.78,20.34,22.34,24.34,24.91,25.28,very_preterm
24,1,19.53,19.90,20.47,22.47,24.47,25.03,25.40,very_preterm
24,2,19.66,20.03,20.60,22.59,24.59,25.16,25.53,very_preterm
24,3,19.79,20.16,20.72,22.72,24.72,25.29,25.66,very_preterm
24,4,19.91,20.28,20.85,22.85,24.85,25.41,25.78,very_preterm
24,5,20.04,20.41,20.98,22.98,24.97,25.54,25.91,very_preterm
24,6,20.17,20.54,21.10,23.10,25.10,25.67,26.04,very_preterm
25,0,20.29,20.66,21.23,23.23,25.23,25.79,26.16,very_preterm
25,1,20.42,20.79,21.36,23.36,25.35,25.92,26.29,very_preterm
25,2,20.55,20.92,21.48,23.48,25.48,26.05,26.42,very_preterm
25,3,20.68,21.04,21.61,23.61,25.61,26.18,26.54,very_preterm
25,4,20.80,21.17,21.74,23.74,25.74,26.30,26.67,very_preterm
25,5,20.93,21.30,21.86,23.86,25.86,26.43,26.80,very_preterm
25,6,21.06,21.42,21.99,23.99,25.99,26.56,26.92,very_preterm
26,0,21.18,21.55,22.12,24.12,26.12,26.68,27.05,very_preterm
26,1,21.31,21.68,22.24,24.24,26.24,26.81,27.18,very_preterm
26,2,21.44,21.80,22.37,24.37,26.37,26.94,27.30,very_preterm
26,3,21.56,21.93,22.50,24.50,26.50,27.06,27.43,very_preterm
26,4,21.69,22.06,22.62,24.62,26.62,27.19,27.56,very_preterm
26,5,21.82,22.18,22.75,24.75,26.75,27.32,27.68,very_preterm
26,6,21.94,22.31,22.88,24.88,26.88,27.44,27.81,very_preterm
27,0,22.07,22.44,23.01,25.00,27.00,27.57,27.94,very_preterm
27,1,22.20,22.57,23.13,25.13,27.13,27.70,28.06,very_preterm
27,2,22.32,22.69,23.26,25.26,27.26,27.82,28.19,very_preterm
27,3,22.45,22.82,23.39,25.38,27.38,27.95,28.32,very_preterm
27,4,22.58,22.95,23.51,25.51,27.51,28.08,28.45,very_preterm
27,5,22.70,23.07,23.64,25.64,27.64,28.20,28.57,very_preterm
27,6,22.83,23.20,23.77,25.77,27.76,28.33,28.70,very_preterm
28,0,22.96,23.33,23.89,25.89,27.89,28.46,28.83,very_preterm
28,1,23.08,23.45,24.02,26.02,28.02,28.58,28.95,very_preterm
28,2,23.21,23.58,24.15,26.15,28.14,28.71,29.08,very_preterm
28,3,23.34,23.71,24.27,26.27,28.27,28.84,29.21,very_preterm
28,4,23.47,23.83,24.40,26.40,28.40,28.96,29.33,very_preterm
28,5,23.59,23.96,24.53,26.53,28.53,29.09,29.46,very_preterm
28,6,23.72,24.09,24.65,26.65,28.65,29.22,29.59,very_preterm
29,0,23.85,24.21,24.78,26.78,28.78,29.35,29.71,very_preterm
29,1,23.97,24.34,24.91,26.91,28.91,29.47,29.84,very_preterm
29,2,24.10,24.47,25.03,27.03,29.03,29.60,29.97,very_preterm
29,3,24.23,24.59,25.16,27.16,29.16,29.73,30.09,very_preterm
29,4,24.35,24.72,25.29,27.29,29.29,29.85,30.22,very_preterm
29,5,24.48,24.85,25.41,27.41,29.41,29.98,30.35,very_preterm
29,6,24.61,24.97,25.54,27.54,29.54,30.11,30.47,very_preterm
30,0,24.73,25.10,25.67,27.67,29.67,30.23,30.60,very_preterm
30,1,24.86,25.23,25.79,27.79,29.79,30.36,30.73,very_preterm
30,2,24.99,25.35,25.92,27.92,29.92,30.49,30.85,very_preterm
30,3,25.11,25.48,26.05,28.05,30.05,30.61,30.98,very_preterm
30,4,25.24,25.61,26.18,28.17,30.17,30.74,31.11,very_preterm
30,5,25.37,25.74,26.30,28.30,30.30,30.87,31.24,very_preterm
30,6,25.49,25.86,26.43,28.43,30.43,30.99,31.36,very_preterm
31,0,25.62,25.99,26.56,28.55,30.55,31.12,31.49,very_preterm
31,1,25.75,26.12,26.68,28.68,30.68,31.25,31.62,very_preterm
31,2,25.87,26.24,26.81,28.81,30.81,31.37,31.74,very_preterm
31,3,26.00,26.37,26.94,28.94,30.93,31.50,31.87,very_preterm
31,4,26.13,26.50,27.06,29.06,31.06,31.63,32.00,very_preterm
31,5,26.25,26.62,27.19,29.19,31.19,31.75,32.12,very_preterm
31,6,26.38,26.75,27.32,29.32,31.31,31.88,32.25,very_preterm
32,0,26.51,26.88,27.44,29.44,31.44,32.01,32.38,very_preterm
32,1,26.64,27.00,27.57,29.57,31.57,32.14,32.50,very_preterm
32,2,26.76,27.13,27.70,29.70,31.70,32.26,32.63,very_preterm
32,3,26.89,27.26,27.82,29.82,31.82,32.39,32.76,very_preterm
32,4,27.02,27.38,27.95,29.95,31.95,32.52,32.88,very_preterm
32,5,27.14,27.51,28.08,30.08,32.08,32.64,33.01,very_preterm
32,6,27.27,27.64,28.20,30.20,32.20,32.77,33.14,very_preterm
33,0,28.24,28.59,29.11,30.88,32.70,33.25,33.62,newborn
33,1,28.35,28.69,29.21,30.97,32.78,33.33,33.69,newborn
33,2,28.45,28.79,29.30,31.05,32.86,33.40,33.76,newborn
33,3,28.54,28.89,29.40,31.14,32.94,33.47,33.84,newborn
33,4,28.64,28.98,29.49,31.22,33.01,33.55,33.91,newborn
33,5,28.74,29.08,29.58,31.31,33.09,33.62,33.98,newborn
33,6,28.83,29.17,29.67,31.39,33.16,33.69,34.05,newborn
34,0,28.93,29.26,29.76,31.47,33.23,33.76,34.11,newborn
34,1,29.02,29.35,29.85,31.55,33.30,33.83,34.18,newborn
34,2,29.11,29.44,29.94,31.63,33.38,33.90,34.25,newborn
34,3,29.21,29.53,30.03,31.71,33.45,33.97,34.32,newborn
34,4,29.30,29.62,30.12,31.79,33.52,34.04,34.38,newborn
34,5,29.38,29.71,30.20,31.87,33.59,34.10,34.45,newborn
34,6,29.47,29.80,30.29,31.94,33.66,34.17,34.51,newborn
35,0,29.56,29.88,30.37,32.02,33.73,34.24,34.58,newborn
35,1,29.65,29.97,30.45,32.10,33.79,34.30,34.64,newborn
35,2,29.73,30.05,30.53,32.17,33.86,34.37,34.71,newborn
35,3,29.82,30.14,30.62,32.24,33.93,34.43,34.77,newborn
35,4,29.90,30.22,30.70,32.32,33.99,34.50,34.83,newborn
35,5,29.98,30.30,30.78,32.39,34.06,34.56,34.90,newborn
35,6,30.07,30.38,30.85,32.46,34.13,34.62,34.96,newborn
36,0,30.15,30.46,30.93,32.53,34.19,34.69,35.02,newborn
36,1,30.23,30.54,31.01,32.61,34.25,34.75,35.08,newborn
36,2,30.31,30.62,31.09,32.68,34.32,34.81,35.14,newborn
36,3,30.39,30.70,31.16,32.75,34.38,34.87,35.20,newborn
36,4,30.46,30.77,31.24,32.81,34.44,34.93,35.26,newborn
36,5,30.54,30.85,31.31,32.88,34.50,34.99,35.32,newborn
36,6,30.62,30.93,31.39,32.95,34.57,35.05,35.38,newborn
37,0,30.69,31.00,31.46,33.02,34.63,35.11,35.43,newborn
37,1,30.77,31.07,31.53,33.08,34.69,35.17,35.49,newborn
37,2,30.84,31.15,31.60,33.15,34.75,35.23,35.55,newborn
