gestational_age_weeks,gestational_age_days,centile_3rd,centile_5th,centile_10th,centile_50th,centile_90th,centile_95th,centile_97th,dataset
24,0,19.16,19.52,20.09,22.09,24.09,24.66,25.02,very_preterm
24,1,19.28,19.65,20.22,22.22,24.22,24.78,25.15,very_preterm
24,2,19.41,19.78,20.34,22.34,24.34,24.91,25.28,very_preterm
24,3,19.54,19.90,20.47,22.47,24.47,25.04,25.40,very_preterm
24,4,19.66,20.03,20.60,22.60,24.60,25.16,25.53,very_preterm
24,5,19.79,20.16,20.72,22.72,24.72,25.29,25.66,very_preterm
24,6,19.92,20.28,20.85,22.85,24.85,25.42,25.78,very_preterm
25,0,20.04,20.41,20.98,22.98,24.98,25.54,25.91,very_preterm
25,1,20.17,20.54,21.11,23.10,25.10,25.67,26.04,very_preterm
25,2,20.30,20.67,21.23,23.23,25.23,25.80,26.17,very_preterm
25,3,20.42,20.79,21.36,23.36,25.36,25.92,26.29,very_preterm
25,4,20.55,20.92,21.49,23.48,25.48,26.05,26.42,very_preterm
25,5,20.68,21.05,21.61,23.61,25.61,26.18,26.55,very_preterm
25,6,20.80,21.17,21.74,23.74,25.74,26.30,26.67,very_preterm
26,0,20.93,21.30,21.87,23.87,25.86,26.43,26.80,very_preterm
26,1,21.06,21.43,21.99,23.99,25.99,26.56,26.93,very_preterm
26,2,21.18,21.55,22.12,24.12,26.12,26.68,27.05,very_preterm
26,3,21.31,21.68,22.25,24.25,26.24,26.81,27.18,very_preterm
26,4,21.44,21.81,22.37,24.37,26.37,26.94,27.31,very_preterm
26,5,21.57,21.93,22.50,24.50,26.50,27.07,27.43,very_preterm
26,6,21.69,22.06,22.63,24.63,26.63,27.19,27.56,very_preterm
27,0,21.82,22.19,22.75,24.75,26.75,27.32,27.69,very_preterm
27,1,21.95,22.31,22.88,24.88,26.88,27.45,27.81,very_preterm
27,2,22.07,22.44,23.01,25.01,27.01,27.57,27.94,very_preterm
27,3,22.20,22.57,23.13,25.13,27.13,27.70,28.07,very_preterm
27,4,22.33,22.69,23.26,25.26,27.26,27.83,28.19,very_preterm
27,5,22.45,22.82,23.39,25.39,27.39,27.95,28.32,very_preterm
27,6,22.58,22.95,23.51,25.51,27.51,28.08,28.45,very_preterm
28,0,22.71,23.07,23.64,25.64,27.64,28.21,28.57,very_preterm
28,1,22.83,23.20,23.77,25.77,27.77,28.33,28.70,very_preterm
28,2,22.96,23.33,23.89,25.89,27.89,28.46,28.83,very_preterm
28,3,23.09,23.46,24.02,26.02,28.02,28.59,28.95,very_preterm
28,4,23.21,23.58,24.15,26.15,28.15,28.71,29.08,very_preterm
28,5,23.34,23.71,24.28,26.27,28.27,28.84,29.21,very_preterm
28,6,23.47,23.84,24.40,26.40,28.40,28.97,29.34,very_preterm
29,0,23.59,23.96,24.53,26.53,28.53,29.09,29.46,very_preterm
29,1,23.72,24.09,24.66,26.65,28.65,29.22,29.59,very_preterm
29,2,23.85,24.22,24.78,26.78,28.78,29.35,29.72,very_preterm
29,3,23.97,24.34,24.91,26.91,28.91,29.47,29.84,very_preterm
29,4,24.10,24.47,25.04,27.04,29.03,29.60,29.97,very_preterm
29,5,24.23,24.60,25.16,27.16,29.16,29.73,30.10,very_preterm
29,6,24.36,24.72,25.29,27.29,29.29,29.85,30.22,very_preterm
30,0,24.48,24.85,25.42,27.42,29.41,29.98,30.35,very_preterm
30,1,24.61,24.98,25.54,27.54,29.54,30.11,30.48,very_preterm
30,2,24.74,25.10,25.67,27.67,29.67,30.24,30.60,very_preterm
30,3,24.86,25.23,25.80,27.80,29.80,30.36,30.73,very_preterm
30,4,24.99,25.36,25.92,27.92,29.92,30.49,30.86,very_preterm
30,5,25.12,25.48,26.05,28.05,30.05,30.62,30.98,very_preterm
30,6,25.24,25.61,26.18,28.18,30.18,30.74,31.11,very_preterm
31,0,25.37,25.74,26.30,28.30,30.30,30.87,31.24,very_preterm
31,1,25.50,25.86,26.43,28.43,30.43,31.00,31.36,very_preterm
31,2,25.62,25.99,26.56,28.56,30.56,31.12,31.49,very_preterm
31,3,25.75,26.12,26.68,28.68,30.68,31.25,31.62,very_preterm
31,4,25.88,26.24,26.81,28.81,30.81,31.38,31.74,very_preterm
31,5,26.00,26.37,26.94,28.94,30.94,31.50,31.87,very_preterm
31,6,26.13,26.50,27.07,29.06,31.06,31.63,32.00,very_preterm
32,0,26.26,26.63,27.19,29.19,31.19,31.76,32.13,very_preterm
32,1,26.38,26.75,27.32,29.32,31.32,31.88,32.25,very_preterm
32,2,26.51,26.88,27.45,29.44,31.44,32.01,32.38,very_preterm
32,3,26.64,27.01,27.57,29.57,31.57,32.14,32.51,very_preterm
32,4,26.76,27.13,27.70,29.70,31.70,32.26,32.63,very_preterm
32,5,26.89,27.26,27.83,29.83,31.82,32.39,32.76,very_preterm
32,6,27.02,27.39,27.95,29.95,31.95,32.52,32.89,very_preterm
33,0,27.92,28.26,28.76,30.46,32.24,32.78,33.14,newborn
33,1,28.03,28.36,28.86,30.55,32.32,32.86,33.22,newborn
33,2,28.13,28.47,28.96,30.64,32.40,32.93,33.29,newborn
33,3,28.24,28.57,29.06,30.73,32.48,33.01,33.37,newborn
33,4,28.34,28.67,29.16,30.82,32.56,33.08,33.44,newborn
33,5,28.44,28.77,29.26,30.91,32.63,33.16,33.51,newborn
33,6,28.54,28.86,29.35,30.99,32.71,33.23,33.58,newborn
