gestational_age_weeks,gestational_age_days,centile_3rd,centile_5th,centile_10th,centile_50th,centile_90th,centile_95th,centile_97th,dataset
24,0,26.90,27.51,28.46,31.79,35.12,36.06,36.68,very_preterm
24,1,27.08,27.69,28.64,31.97,35.30,36.25,36.86,very_preterm
24,2,27.26,27.88,28.82,32.15,35.48,36.43,37.04,very_preterm
24,3,27.44,28.06,29.00,32.33,35.66,36.61,37.22,very_preterm
24,4,27.62,28.24,29.18,32.51,35.85,36.79,37.40,very_preterm
24,5,27.81,28.42,29.36,32.70,36.03,36.97,37.58,very_preterm
24,6,27.99,28.60,29.55,32.88,36.21,37.15,37.77,very_preterm
25,0,28.17,28.78,29.73,33.06,36.39,37.33,37.95,very_preterm
25,1,28.35,28.96,29.91,33.24,36.57,37.52,38.13,very_preterm
25,2,28.53,29.15,30.09,33.42,36.75,37.70,38.31,very_preterm
25,3,28.71,29.33,30.27,33.60,36.93,37.88,38.49,very_preterm
25,4,28.89,29.51,30.45,33.78,37.12,38.06,38.67,very_preterm
25,5,29.08,29.69,30.63,33.97,37.30,38.24,38.85,very_preterm
25,6,29.26,29.87,30.82,34.15,37.48,38.42,39.04,very_preterm
26,0,29.44,30.05,31.00,34.33,37.66,38.60,39.22,very_preterm
26,1,29.62,30.23,31.18,34.51,37.84,38.79,39.40,very_preterm
26,2,29.80,30.42,31.36,34.69,38.02,38.97,39.58,very_preterm
26,3,29.98,30.60,31.54,34.87,38.20,39.15,39.76,very_preterm
26,4,30.16,30.78,31.72,35.05,38.39,39.33,39.94,very_preterm
26,5,30.35,30.96,31.90,35.24,38.57,39.51,40.12,very_preterm
26,6,30.53,31.14,32.09,35.42,38.75,39.69,40.31,very_preterm
27,0,30.71,31.32,32.27,35.60,38.93,39.87,40.49,very_preterm
27,1,30.89,31.50,32.45,35.78,39.11,40.06,40.67,very_preterm
27,2,31.07,31.69,32.63,35.96,39.29,40.24,40.85,very_preterm
27,3,31.25,31.87,32.81,36.14,39.47,40.42,41.03,very_preterm
